Treatment,PPO,POX,TI,Block
CT,3466.469,1951.534,0,2
CT,1738.452,209.697,13000,5
CT,2128.297,584.778,6740,9
CT,2762.667,1652.021,8070,3
CT,4760.111,328.913,7690,7
CT,2300.787,564.491,4670,8
CT,2414.69,170.181,5090,6
CT,2306.729,468.796,5320,4
CT,3554.349,385.297,12700,1
GL,10349.014,4000.993,6180,2
GL,4608.147,1671.192,5460,5
GL,3575.808,1739.994,15600,9
GL,4500.515,1652.03,4760,3
GL,2931.204,621.799,4970,7
GL,3438.373,513.793,5470,8
GL,4487.077,950.916,6740,6
GL,3034.56,765.592,10500,4
GL,2368.389,1239.92,9300,1
GX,2807.651,900.035,6360,2
GX,4457.195,1140.611,3880,5
GX,3164.395,1616.011,11100,9
GX,5417.241,2141.366,9780,3
GX,1539.992,287.689,5390,7
GX,1762.975,526.57,6240,8
GX,1753.446,498.015,4470,6
GX,2906.246,887.307,6260,4
GX,2935.209,767.415,6670,1
HP,2660.363,1053.515,6350,2
HP,2120.185,1145.171,6230,5
HP,2625.809,1196.918,3500,9
HP,5050.916,2037.295,8870,3
HP,2375.141,709.423,4090,7
HP,2345.911,300.487,8340,8
HP,2788.634,593.062,8550,6
HP,1783.3,379.482,4870,4
HP,1850.042,447.42,4300,1
PB,10208.401,2969.373,6730,2
PB,3884.915,1593.907,5590,5
PB,6171.707,1320.956,8520,9
PB,2800.296,1861.502,9250,3
PB,9959.612,2345.594,6580,7
PB,3849.437,793.266,5290,8
PB,3323.929,860.466,14300,6
PB,2562.463,818.966,8020,4
PB,3388.559,1180.555,8150,1
